Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,TotalSpent,Living_With,Children,Parenthood,Kmeans,ClustName
1,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,34300800000000000,51,63,0,2,1,1,LowBuyer
0,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,59875200000000000,72,978,1,0,0,2,HighBuyer
2,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,46137600000000000,40,410,1,0,0,2,HighBuyer
0,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,43286400000000000,63,72,0,1,1,1,LowBuyer
2,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,21686400000000000,64,55,0,1,1,1,LowBuyer
2,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,49075200000000000,78,1120,1,0,0,2,HighBuyer
1,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,10627200000000000,64,1097,1,0,0,2,HighBuyer
0,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,36288000000000000,44,29,1,1,1,1,LowBuyer
1,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,37843200000000000,59,187,1,2,1,1,LowBuyer
1,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,58060800000000000,54,910,1,2,1,0,MidBuyer
1,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,61948800000000000,45,145,0,1,1,1,LowBuyer
2,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,75772800000000000,63,850,1,0,0,2,HighBuyer
1,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,57283200000000000,44,969,1,1,1,0,MidBuyer
2,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,67910400000000000,32,1820,0,0,0,2,HighBuyer
2,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,14169600000000000,60,608,1,1,1,0,MidBuyer
1,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,58147200000000000,32,730,0,0,0,2,HighBuyer
2,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,62553600000000000,43,551,1,1,1,0,MidBuyer
1,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,36547200000000000,61,114,0,2,1,1,LowBuyer
1,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,27302400000000000,53,1724,1,0,0,2,HighBuyer
0,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,56592000000000000,45,577,1,1,1,0,MidBuyer
0,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,34041600000000000,56,81,1,2,1,1,LowBuyer
1,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33436800000000000,54,33,1,1,1,1,LowBuyer
2,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,46137600000000000,70,660,1,1,1,0,MidBuyer
2,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,24624000000000000,56,80,0,1,1,1,LowBuyer
2,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,52358400000000000,38,30,1,2,1,1,LowBuyer
1,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,51235200000000000,47,43,0,1,1,1,LowBuyer
1,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31795200000000000,40,1135,0,0,0,2,HighBuyer
0,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,56678400000000000,58,559,1,0,0,2,HighBuyer
1,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,51321600000000000,39,1923,0,0,0,2,HighBuyer
2,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,10540800000000000,70,90,1,2,1,1,LowBuyer
2,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,5356800000000000,67,661,1,2,1,0,MidBuyer
1,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,37324800000000000,71,463,1,1,1,0,MidBuyer
2,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,37065600000000000,65,632,0,2,1,0,MidBuyer
1,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,5616000000000000,54,725,1,0,0,2,HighBuyer
2,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,41385600000000000,59,279,1,2,1,1,LowBuyer
2,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,54345600000000000,56,1482,1,0,0,2,HighBuyer
0,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,73440000000000000,47,29,0,1,1,1,LowBuyer
2,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,44668800000000000,64,106,1,3,1,1,LowBuyer
2,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,17366400000000000,50,49,0,2,1,1,LowBuyer
2,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,42854400000000000,58,38,0,2,1,1,LowBuyer
2,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,67219200000000000,31,2077,0,0,0,2,HighBuyer
2,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,33436800000000000,47,1053,1,1,1,0,MidBuyer
1,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,51494400000000000,61,1385,1,0,0,2,HighBuyer
2,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40176000000000000,49,871,0,1,1,0,MidBuyer
1,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,54172800000000000,35,312,1,1,1,1,LowBuyer
1,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,67305600000000000,47,877,1,2,1,0,MidBuyer
1,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,66441600000000000,48,68,1,1,1,1,LowBuyer
1,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,40176000000000000,42,22,1,1,1,1,LowBuyer
0,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,72230400000000000,50,211,1,3,1,1,LowBuyer
2,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,14515200000000000,57,127,1,0,0,1,LowBuyer
2,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,19526400000000000,70,459,1,2,1,0,MidBuyer
1,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,13478400000000000,54,460,1,1,1,0,MidBuyer
0,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,62380800000000000,51,429,1,1,1,0,MidBuyer
1,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,86400000000000,35,89,0,1,1,1,LowBuyer
2,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,70588800000000000,71,1021,1,1,1,0,MidBuyer
1,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,56592000000000000,74,1381,1,0,0,2,HighBuyer
1,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,41990400000000000,65,306,0,1,1,0,MidBuyer
1,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,31276800000000000,45,18,0,3,1,1,LowBuyer
1,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,35856000000000000,46,162,1,1,1,1,LowBuyer
1,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,40867200000000000,68,1231,0,0,0,2,HighBuyer
2,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,60307200000000000,65,13,0,3,1,1,LowBuyer
2,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,81129600000000000,78,1706,1,0,0,2,HighBuyer
1,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,18921600000000000,39,121,1,1,1,1,LowBuyer
2,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,60480000000000000,48,1293,0,0,0,2,HighBuyer
1,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,33523200000000000,57,88,1,3,1,1,LowBuyer
1,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,33091200000000000,70,421,0,0,0,2,HighBuyer
1,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,40176000000000000,64,259,0,0,0,1,LowBuyer
1,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,57283200000000000,35,1117,0,0,0,2,HighBuyer
1,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,24537600000000000,66,89,1,2,1,1,LowBuyer
1,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,19785600000000000,58,36,1,2,1,1,LowBuyer
1,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,44150400000000000,41,57,1,1,1,1,LowBuyer
1,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,19785600000000000,53,148,1,2,1,1,LowBuyer
2,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,26784000000000000,64,93,1,2,1,1,LowBuyer
1,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,21254400000000000,56,119,0,1,1,1,LowBuyer
2,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,62208000000000000,75,1318,1,0,0,2,HighBuyer
2,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,17020800000000000,53,45,1,2,1,1,LowBuyer
1,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,14256000000000000,64,10,1,3,1,1,LowBuyer
2,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,2678400000000000,47,191,1,1,1,1,LowBuyer
0,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,5356800000000000,35,57,1,1,1,1,LowBuyer
2,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,37497600000000000,77,1033,1,0,0,2,HighBuyer
2,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,27475200000000000,39,66,1,1,1,1,LowBuyer
0,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,15033600000000000,62,43,1,0,0,1,LowBuyer
1,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,81043200000000000,40,50,1,1,1,1,LowBuyer
2,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,10800000000000000,53,39,0,1,1,1,LowBuyer
1,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,57542400000000000,57,608,1,1,1,0,MidBuyer
1,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,54172800000000000,47,1581,1,0,0,2,HighBuyer
2,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,56246400000000000,59,68,1,2,1,1,LowBuyer
0,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,70675200000000000,45,80,1,1,1,1,LowBuyer
2,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,49075200000000000,34,1282,1,0,0,2,HighBuyer
1,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,47952000000000000,35,91,1,1,1,1,LowBuyer
1,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,56678400000000000,50,315,1,2,1,1,LowBuyer
1,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,29548800000000000,46,31,1,2,1,1,LowBuyer
2,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,17884800000000000,43,834,1,0,0,2,HighBuyer
1,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,38275200000000000,69,1600,1,0,0,2,HighBuyer
1,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,59443200000000000,69,1270,1,0,0,2,HighBuyer
